date,open,high,low,close,volume,value
2001-03-12,31.35,33.30,30.73,31.08,974933,31.08
2001-03-13,30.83,31.83,28.59,30.25,1328700,30.25
2001-03-14,30.83,30.83,25.56,26.27,2812851,26.27
2001-03-15,26.32,27.50,26.00,26.99,1105637,26.99
2001-03-16,26.67,27.63,26.55,26.71,1183381,26.71
2001-03-19,26.50,27.30,26.33,26.70,361518,26.70
2001-03-20,26.83,26.92,25.38,26.50,612791,26.50
2001-03-21,26.47,28.58,26.40,28.22,1499361,28.22
2001-03-22,28.33,29.15,27.50,27.58,803054,27.58
2001-03-23,28.00,28.09,26.12,27.18,913832,27.18
2001-03-26,26.76,27.83,26.18,27.38,1602424,27.38
2001-03-27,27.83,29.93,27.83,29.62,1148235,29.62
2001-03-28,30.00,31.65,29.71,31.26,1263891,31.26
2001-03-29,31.42,34.66,30.70,34.16,4601062,34.16
2001-03-30,34.34,34.34,31.47,31.93,1785955,31.93
2001-04-02,30.83,30.83,28.83,29.52,1015059,29.52
2001-04-03,29.45,31.69,29.17,31.11,858131,31.11
2001-04-04,30.17,31.17,29.77,29.99,1040216,29.99
2001-04-06,31.67,33.34,30.67,31.89,1732605,31.89
2001-04-09,32.97,32.97,31.33,31.67,590562,31.67
2001-04-10,31.91,32.83,30.85,32.19,1076874,32.19
2001-04-11,31.33,32.50,31.05,31.21,517942,31.21
2001-04-12,31.00,32.15,30.00,31.11,855563,31.11
2001-04-16,31.50,31.92,30.83,31.69,366492,31.69
2001-04-17,31.71,33.90,31.71,33.68,1101425,33.68
2001-04-18,35.00,39.00,32.59,37.84,4634228,37.84
2001-04-19,38.33,38.93,33.67,34.27,2131585,34.27
2001-04-20,34.00,36.49,34.00,35.38,1248436,35.38
2001-04-23,35.36,35.67,33.34,34.50,1087590,34.50
2001-04-24,34.28,35.15,33.52,34.22,559556,34.22
2001-04-25,34.97,35.90,34.35,35.49,1451435,35.49
2001-04-26,35.34,35.99,34.19,34.42,723354,34.42
2001-04-27,33.84,33.84,31.67,32.85,740165,32.85
2001-04-30,32.52,33.59,32.33,32.51,522964,32.51
2001-05-02,34.12,34.79,33.02,33.32,798770,33.32
2001-05-03,33.66,33.76,32.85,33.32,988433,33.32
2001-05-04,33.00,33.50,32.89,33.28,962712,33.28
2001-05-07,33.34,34.00,33.19,33.50,747023,33.50
2001-05-08,33.31,33.50,32.55,33.28,592980,33.28
2001-05-09,34.17,34.40,32.67,33.32,741629,33.32
2001-05-10,33.00,33.10,31.97,32.23,272434,32.23
2001-05-11,32.00,33.05,31.86,32.13,477594,32.13
2001-05-14,31.92,32.63,31.92,32.06,190964,32.06
2001-05-15,31.69,33.34,29.67,33.29,945037,33.29
2001-05-16,33.34,33.76,32.72,33.01,631498,33.01
2001-05-17,33.84,34.46,32.85,33.92,1851483,33.92
2001-05-18,34.09,35.92,33.83,35.22,2638380,35.22
2001-05-21,35.17,35.17,33.85,34.14,494885,34.14
2001-05-22,34.02,34.50,33.59,33.80,321716,33.80
2001-05-23,33.84,34.17,33.68,33.90,207692,33.90
2001-05-24,34.00,34.34,33.17,33.76,322142,33.76
2001-05-25,34.00,34.13,32.25,32.51,945055,32.51
2001-05-28,32.59,34.42,32.52,33.72,1271906,33.72
2001-05-29,33.84,35.50,33.36,33.76,2172371,33.76
2001-05-30,34.17,34.99,32.17,32.69,2316328,32.69
2001-05-31,32.45,33.29,32.35,32.53,753130,32.53
2001-06-01,32.91,32.91,31.69,31.89,722424,31.89
2001-06-04,31.83,32.67,31.67,32.53,852161,32.53
2001-06-05,32.17,32.67,30.18,30.39,1646708,30.39
2001-06-06,31.65,31.65,29.50,29.81,1894849,29.81
2001-06-07,30.00,30.23,28.35,28.49,2172731,28.49
2001-06-08,28.81,30.42,28.05,29.50,2487584,29.50
2001-06-11,29.75,31.06,29.75,30.65,2228793,30.65
2001-06-12,30.63,31.92,30.59,31.79,3231240,31.79
2001-06-13,31.83,31.90,31.29,31.61,1010439,31.61
2001-06-14,31.19,31.67,30.69,31.23,691111,31.23
2001-06-15,30.63,31.83,30.59,31.58,1179349,31.58
2001-06-18,31.09,31.67,30.83,31.12,820063,31.12
